date,docket,case_name,justice,pdf_url,word_count,page_count,dissent_mentions,concurrence_mentions,first_amend_mentions,fourth_amend_mentions,fifth_amend_mentions,sixth_amend_mentions,eigth_amend_mentions
6/23/21,20-255,Mahanoy Area School Dist. v. B. L.,B,https://www.supremecourt.gov/opinions/20pdf/594us1r54_k5gm.pdf,14803,41,17,32,34,0,0,0,0
6/23/21,20-107,Cedar Point Nursery v. Hassid,R,https://www.supremecourt.gov/opinions/20pdf/594us1r53_0pm1.pdf,14245,42,41,4,0,1,5,0,0
6/21/21,20-222,"Goldman Sachs Group, Inc. v. Arkansas Teacher Retirement System",AB,https://www.supremecourt.gov/opinions/20pdf/594us1r52_3e04.pdf,9171,27,10,5,0,0,0,0,0
6/21/21,20-512,National Collegiate Athletic Assn. v. Alston,NG,https://www.supremecourt.gov/opinions/20pdf/594us1r51_7k47.pdf,14861,45,0,10,0,0,0,0,0
6/21/21,19-1434,"United States v. Arthrex, Inc.",R,https://www.supremecourt.gov/opinions/20pdf/594us1r50_m6io.pdf,23145,69,66,15,0,0,0,0,0
6/17/21,19-840,California v. Texas,B,https://www.supremecourt.gov/opinions/20pdf/593us2r49_c0nd.pdf,20140,58,64,17,0,0,0,0,0
6/17/21,19-416,"Nestlé USA, Inc. v. Doe",T,https://www.supremecourt.gov/opinions/20pdf/593us2r48_p8k0.pdf,11101,32,8,20,0,0,0,0,0
6/17/21,19-123,Fulton v. Philadelphia,R,https://www.supremecourt.gov/opinions/20pdf/593us2r47_8m59.pdf,38321,107,22,126,47,0,1,2,0
6/14/21,19-8709,Greer v. United States,BK,https://www.supremecourt.gov/opinions/20pdf/593us2r46_1qm2.pdf,6727,20,7,4,0,0,0,0,0
6/14/21,20-5904,Terry v. United States,T,https://www.supremecourt.gov/opinions/20pdf/593us2r45_5ifl.pdf,5945,18,0,5,0,0,0,0,0
6/10/21,19-5410,Borden v. United States,EK,https://www.supremecourt.gov/opinions/20pdf/593us2r44_3eah.pdf,23762,67,89,13,0,0,0,0,0
6/07/21,20-315,Sanchez v. Mayorkas,EK,https://www.supremecourt.gov/opinions/20pdf/593us2r43_22p3.pdf,3738,12,0,0,0,0,0,0,0
6/03/21,19-783,Van Buren v. United States,AB,https://www.supremecourt.gov/opinions/20pdf/593us2r42_n7ip.pdf,12325,36,41,1,0,0,0,0,0
6/01/21,19-1155,Garland v. Ming Dai,NG,https://www.supremecourt.gov/opinions/20pdf/593us2r41_9o6b.pdf,6020,18,2,0,0,0,0,0,0
6/01/21,19-1414,United States v. Cooley,B,https://www.supremecourt.gov/opinions/20pdf/593us2r40_j5fl.pdf,4133,13,0,4,0,0,0,0,0
5/27/21,20-334,"San Antonio v. Hotels.com, L. P.",A,https://www.supremecourt.gov/opinions/20pdf/593us2r39_j4el.pdf,5494,16,0,0,0,0,0,0,0
5/24/21,20-437,United States v. Palomar-Santiago,SS,https://www.supremecourt.gov/opinions/20pdf/593us2r38_n648.pdf,3005,10,0,0,0,0,0,0,0
5/24/21,20-382,Guam v. United States,T,https://www.supremecourt.gov/opinions/20pdf/593us2r37_1an2.pdf,4060,12,0,0,0,0,0,0,0
5/17/21,19-5807,Edwards v. Vannoy,BK,https://www.supremecourt.gov/opinions/20pdf/593us1r36_j4ek.pdf,19913,56,47,48,0,1,0,18,0
5/17/21,19-1189,BP p.l.c. v. Mayor and City Council of Baltimore,NG,https://www.supremecourt.gov/opinions/20pdf/593us1r35_i425.pdf,9170,26,13,2,0,0,0,0,0
5/17/21,19-930,"CIC Servs., LLC v. IRS",EK,https://www.supremecourt.gov/opinions/20pdf/593us1r34_mlho.pdf,7414,22,3,9,0,0,0,0,0
5/17/21,20-157,Caniglia v. Strom,T,https://www.supremecourt.gov/opinions/20pdf/593us1r33_4i29.pdf,5191,16,0,16,0,24,0,0,0
4/29/21,19-863,Niz-Chavez v. Garland,NG,https://www.supremecourt.gov/opinions/20pdf/593us1r32_21o3.pdf,13507,40,47,0,0,0,0,0,0
4/26/21,20-940,Alaska v. Wright,PC,https://www.supremecourt.gov/opinions/20pdf/593us1r31_g314.pdf,1166,4,0,1,0,0,0,2,0
4/22/21,18-1259,Jones v. Mississippi,BK,https://www.supremecourt.gov/opinions/20pdf/593us1r30_4315.pdf,18831,55,51,21,0,0,0,2,29
4/22/21,19-1442,Carr v. Saul,SS,https://www.supremecourt.gov/opinions/20pdf/593us1r29_b97c.pdf,5282,16,2,14,0,0,0,0,0
4/22/21,19-508,"AMG Capital Management, LLC v. FTC",B,https://www.supremecourt.gov/opinions/20pdf/593us1r28_758b.pdf,5966,17,0,0,0,0,0,0,0
4/09/21,20A151,Tandon v. Newsom,PC,https://www.supremecourt.gov/opinions/20pdf/593us1r27_o759.pdf,2021,7,6,3,2,0,0,0,0
4/05/21,18-956,"Google LLC v. Oracle America, Inc.",B,https://www.supremecourt.gov/opinions/20pdf/593us1r26_f29g.pdf,20764,61,23,3,0,0,0,0,0
4/01/21,"142, Orig.",Florida v. Georgia,AB,https://www.supremecourt.gov/opinions/20pdf/592us2r25_086c.pdf,3840,13,0,0,0,0,0,0,0
4/01/21,19-1231,FCC v. Prometheus Radio Project,BK,https://www.supremecourt.gov/opinions/20pdf/592us2r24_19m2.pdf,6397,20,2,7,0,0,0,0,0
4/01/21,19-511,"Facebook, Inc. v. Duguid",SS,https://www.supremecourt.gov/opinions/20pdf/592us2r23_1bn2.pdf,6598,20,0,9,0,0,0,0,0
3/29/21,20-507,Mays v. Hines,PC,https://www.supremecourt.gov/opinions/20pdf/592us2r22_jgkn.pdf,3326,11,3,0,0,0,0,0,0
3/25/21,19-368,Ford Motor Co. v. Montana Eighth Judicial Dist.,EK,https://www.supremecourt.gov/opinions/20pdf/592us2r21_p86a.pdf,12692,35,0,25,0,0,0,0,0
3/25/21,19-292,Torres v. Madrid,R,https://www.supremecourt.gov/opinions/20pdf/592us2r20_o759.pdf,16314,46,47,1,0,53,0,0,0
3/08/21,19-968,Uzuegbunam v. Preczewski,T,https://www.supremecourt.gov/opinions/20pdf/592us2r19_8mjp.pdf,9382,28,28,5,2,0,0,0,0
3/04/21,19-547,"United States Fish and Wildlife Serv. v. Sierra Club, Inc.",AB,https://www.supremecourt.gov/opinions/20pdf/592us2r18_7l48.pdf,6221,19,10,0,0,0,0,0,0
3/04/21,19-438,Pereida v. Wilkinson,NG,https://www.supremecourt.gov/opinions/20pdf/592us2r17_l537.pdf,12950,38,33,0,0,0,0,4,0
2/25/21,19-546,Brownback v. King,T,https://www.supremecourt.gov/opinions/20pdf/592us2r16_1971.pdf,5244,16,0,7,0,1,0,0,0
2/03/21,18-1447,Republic of Hungary v. Simon,PC,https://www.supremecourt.gov/opinions/20pdf/592us1r15_limp.pdf,448,3,0,0,0,0,0,0,0
2/03/21,19-199,Salinas v. Railroad Retirement Bd.,SS,https://www.supremecourt.gov/opinions/20pdf/592us1r14_2co3.pdf,6655,20,8,1,0,0,0,0,0
2/03/21,19-351,Federal Republic of Germany v. Philipp,R,https://www.supremecourt.gov/opinions/20pdf/592us1r13_m648.pdf,6545,20,1,2,0,0,0,0,0
1/25/21,19-963,"Henry Schein, Inc. v. Archer & White Sales, Inc.",PC,https://www.supremecourt.gov/opinions/20pdf/592us1r12_l6gn.pdf,350,2,0,0,0,0,0,0,0
1/14/21,19-357,Chicago v. Fulton,A,https://www.supremecourt.gov/opinions/20pdf/592us1r11_a7bf.pdf,4833,15,0,9,0,0,0,0,0
12/18/20,20-366,Trump v. New York,PC,https://www.supremecourt.gov/opinions/20pdf/592us1r10_fd9g.pdf,10263,30,25,1,0,0,0,0,0
12/14/20,19-1302,Shinn v. Kayer,PC,https://www.supremecourt.gov/opinions/20pdf/592us1r09_5368.pdf,4765,15,4,0,0,0,0,1,0
12/14/20,"65, Orig.",Texas v. New Mexico,BK,https://www.supremecourt.gov/opinions/20pdf/592us1r08_i4dk.pdf,4670,14,2,2,0,0,0,0,0
12/10/20,18-540,Rutledge v. Pharmaceutical Care Management Assn.,SS,https://www.supremecourt.gov/opinions/20pdf/592us1r07_jgko.pdf,6247,19,1,13,0,0,0,0,0
12/10/20,19-108,United States v. Briggs,A,https://www.supremecourt.gov/opinions/20pdf/592us1r06_5ifl.pdf,3688,12,3,4,0,0,0,0,14
12/10/20,19-309,Carney v. Adams,B,https://www.supremecourt.gov/opinions/20pdf/592us1r05_o7kq.pdf,5452,17,0,6,3,0,0,0,0
12/10/20,19-71,Tanzin v. Tanvir,T,https://www.supremecourt.gov/opinions/20pdf/592us1r04_e29g.pdf,3509,11,0,0,4,1,0,0,0
11/25/20,20A87,Roman Catholic Diocese of Brooklyn v. Cuomo,PC,https://www.supremecourt.gov/opinions/20pdf/592us1r03_7mip.pdf,10060,30,30,33,14,0,0,0,0
11/02/20,19-1261,Taylor v. Riojas,PC,https://www.supremecourt.gov/opinions/20pdf/592us1r02_2c8f.pdf,2381,8,1,6,0,0,0,0,6
11/02/20,19-1108,Mckesson v. Doe,PC,https://www.supremecourt.gov/opinions/20pdf/592us1r01_2924.pdf,2094,7,6,2,13,0,0,0,0
6/30/22,21-954,Biden v. Texas,R,https://www.supremecourt.gov/opinions/21pdf/597us2r66_k537.pdf,19704,58,46,10,0,0,0,0,0
6/30/22,20-1530,West Virginia v. EPA,R,https://www.supremecourt.gov/opinions/21pdf/597us2r65_5iel.pdf,31288,90,75,34,0,0,0,0,0
6/29/22,21-429,Oklahoma v. Castro-Huerta,BK,https://www.supremecourt.gov/opinions/21pdf/597us2r64_5436.pdf,23853,70,66,23,0,0,0,0,0
6/29/22,20-603,Torres v. Texas Department of Public Safety,B,https://www.supremecourt.gov/opinions/21pdf/597us2r63_m6ho.pdf,17693,51,44,4,0,0,0,0,0
6/27/22,21-418,Kennedy v. Bremerton School Dist.,NG,https://www.supremecourt.gov/opinions/21pdf/597us2r62_d92h.pdf,25693,75,62,25,38,0,0,0,0
6/27/22,20-1650,Concepcion v. United States,SS,https://www.supremecourt.gov/opinions/21pdf/597us2r61_7khn.pdf,9472,28,16,1,0,0,0,0,0
6/27/22,20-1410,Xiulu Ruan v. United States,B,https://www.supremecourt.gov/opinions/21pdf/597us2r60_8oka.pdf,11044,33,3,24,0,0,0,0,0
6/24/22,20-1312,"Becerra v. Empire Health Foundation, For Valley Hospital Medical Center",EK,https://www.supremecourt.gov/opinions/21pdf/597us1r59_i4dk.pdf,9050,28,11,0,0,0,0,0,0
6/24/22,19-1392,Dobbs v. Jackson Women’s Health Organization,A,https://www.supremecourt.gov/opinions/21pdf/597us1r58_gebh.pdf,75813,211,178,126,6,4,8,5,2
6/23/22,21-248,Berger v. North Carolina State Conference of the NAACP,NG,https://www.supremecourt.gov/opinions/21pdf/597us1r57_b0nd.pdf,12829,38,27,1,0,0,0,0,0
6/23/22,21-439,Nance v. Ward,EK,https://www.supremecourt.gov/opinions/21pdf/597us1r56_p86b.pdf,7560,22,11,2,0,0,0,0,9
6/23/22,21-499,Vega v. Tekoh,A,https://www.supremecourt.gov/opinions/21pdf/597us1r55_8m58.pdf,9279,27,17,5,0,2,33,0,0
6/23/22,20-843,"New York State Rifle & Pistol Assn., Inc. v. Bruen",T,https://www.supremecourt.gov/opinions/21pdf/597us1r54_7648.pdf,48440,135,115,29,10,3,0,2,0
6/21/22,20-1641,Marietta Memorial Hospital Employee Health Benefit Plan v. DaVita Inc.,BK,https://www.supremecourt.gov/opinions/21pdf/596us2r53_l6h1.pdf,3969,14,9,1,0,0,0,0,0
6/21/22,20-1459,United States v. Taylor,NG,https://www.supremecourt.gov/opinions/21pdf/596us2r52_886a.pdf,12741,37,44,10,0,0,0,6,0
6/21/22,21-404,United States v. Washington,B,https://www.supremecourt.gov/opinions/21pdf/596us2r51_6479.pdf,4500,15,0,1,0,0,0,0,0
6/21/22,21-511,Shoop v. Twyford,R,https://www.supremecourt.gov/opinions/21pdf/596us2r50_2034.pdf,7732,23,15,0,0,0,0,0,0
6/21/22,20-1088,Carson v. Makin,R,https://www.supremecourt.gov/opinions/21pdf/596us2r49_7l48.pdf,15544,46,54,6,12,0,0,0,0
6/15/22,20-1775,Arizona v. City and County of San Francisco,PC,https://www.supremecourt.gov/opinions/21pdf/596us2r48_fe9g.pdf,1499,6,0,5,0,0,0,0,0
6/15/22,21-234,George v. McDonough,AB,https://www.supremecourt.gov/opinions/21pdf/596us2r47_m6hn.pdf,8492,25,22,0,0,0,0,0,0
6/15/22,20-1114,American Hospital Assn. v. Becerra,BK,https://www.supremecourt.gov/opinions/21pdf/596us2r46_bqm1.pdf,5496,18,3,0,0,0,0,0,0
6/15/22,20-493,Ysleta del Sur Pueblo v. Texas,NG,https://www.supremecourt.gov/opinions/21pdf/596us2r45_3d46.pdf,14010,41,29,0,0,0,0,0,0
6/15/22,20-1034,Golan v. Saada,SS,https://www.supremecourt.gov/opinions/21pdf/596us2r44_6j37.pdf,6871,21,0,2,0,0,0,0,0
6/15/22,20-1573,"Viking River Cruises, Inc. v. Moriana",A,https://www.supremecourt.gov/opinions/21pdf/596us2r43_gn0f.pdf,10062,29,5,7,0,0,0,0,0
6/13/22,21-401,"ZF Automotive U. S., Inc. v. Luxshare, Ltd.",AB,https://www.supremecourt.gov/opinions/21pdf/596us2r42_3f14.pdf,7101,22,0,0,0,0,0,0,0
6/13/22,20-7622,Denezpi v. United States,AB,https://www.supremecourt.gov/opinions/21pdf/596us2r41_2924.pdf,9794,30,27,1,0,0,2,0,0
6/13/22,19-896,Johnson v. Arteaga-Martinez,SS,https://www.supremecourt.gov/opinions/21pdf/596us2r40_2d93.pdf,6045,20,5,11,0,0,2,0,0
6/13/22,20-322,Garland v. Gonzalez,A,https://www.supremecourt.gov/opinions/21pdf/596us2r39_7l48.pdf,10625,32,14,7,0,0,0,0,0
6/13/22,21-5726,Kemp v. United States,T,https://www.supremecourt.gov/opinions/21pdf/596us2r38_e29f.pdf,5039,17,5,2,0,0,0,0,0
6/08/22,21-147,Egbert v. Boule,T,https://www.supremecourt.gov/opinions/21pdf/596us1r37_7l48.pdf,16132,48,14,22,22,29,4,0,5
6/06/22,21-441,Siegel v. Fitzgerald,SS,https://www.supremecourt.gov/opinions/21pdf/596us1r36_k5fl.pdf,6293,20,0,0,0,0,0,0,0
6/06/22,21-309,Southwest Airlines Co. v. Saxon,T,https://www.supremecourt.gov/opinions/21pdf/596us1r35_664c.pdf,5209,16,0,0,0,0,0,0,0
6/06/22,20-1263,Gallardo v. Marstiller,T,https://www.supremecourt.gov/opinions/21pdf/596us1r34_c9dh.pdf,10480,32,24,0,0,0,0,0,0
5/23/22,21-328,"Morgan v. Sundance, Inc.",EK,https://www.supremecourt.gov/opinions/21pdf/596us1r33_a86c.pdf,3484,11,2,0,0,0,0,0,0
5/23/22,20-1009,Shinn v. Martinez Ramirez,T,https://www.supremecourt.gov/opinions/21pdf/596us1r32_e29g.pdf,15461,47,36,0,0,0,0,10,0
5/16/22,20-979,Patel v. Garland,AB,https://www.supremecourt.gov/opinions/21pdf/596us1r31_5367.pdf,13064,40,25,1,0,0,0,0,0
5/16/22,21-12,Federal Election Comm’n v. Ted Cruz,R,https://www.supremecourt.gov/opinions/21pdf/596us1r30_o759.pdf,13810,41,22,2,29,0,0,0,0
5/02/22,20-1800,Shurtleff v. Boston,B,https://www.supremecourt.gov/opinions/21pdf/596us1r29_j3ko.pdf,16033,49,12,51,33,0,0,0,0
4/28/22,20-807,LeDure v. Union Pacific Railroad Co.,PC,https://www.supremecourt.gov/opinions/21pdf/596us1r28_6j36.pdf,435,3,0,0,0,0,0,0,0
4/28/22,20-219,Cummings v. Premier Rehab Keller,R,https://www.supremecourt.gov/opinions/21pdf/596us1r27_5i36.pdf,10500,32,20,8,0,0,0,0,0
4/21/22,20-1472,Boechler v. Commissioner,AB,https://www.supremecourt.gov/opinions/21pdf/596us1r26_o6p1.pdf,4695,15,0,0,0,0,0,0,0
4/21/22,20-303,United States v. Vaello Madero,BK,https://www.supremecourt.gov/opinions/21pdf/596us1r25_bpm1.pdf,14355,42,26,37,1,0,14,1,1
4/21/22,20-826,Brown v. Davenport,NG,https://www.supremecourt.gov/opinions/21pdf/596us1r24_9p6b.pdf,15320,43,43,11,0,0,0,0,0
4/21/22,20-1566,Cassirer v. Thyssen-Bornemisza Collection Foundation,EK,https://www.supremecourt.gov/opinions/21pdf/596us1r23_heim.pdf,4129,13,0,0,0,0,0,0,0
4/21/22,20-1029,"City of Austin v. Reagan National Advertising of Austin, LLC",SS,https://www.supremecourt.gov/opinions/21pdf/596us1r22_4315.pdf,16063,48,45,27,41,0,0,0,0
4/04/22,20-659,Thompson v. Clark,BK,https://www.supremecourt.gov/opinions/21pdf/596us1r21_5f57.pdf,8818,27,16,11,0,65,0,0,0
3/31/22,20-1143,Badgerow v. Walters,EK,https://www.supremecourt.gov/opinions/21pdf/596us1r20_f2ag.pdf,12414,37,27,3,0,0,0,0,0
3/24/22,20-804,Houston Community College System v. Wilson,NG,https://www.supremecourt.gov/opinions/21pdf/595us2r19_8n59.pdf,5673,18,1,3,36,0,0,0,0
3/24/22,21-5592,Ramirez v. Collier,R,https://www.supremecourt.gov/opinions/21pdf/595us2r18_a86c.pdf,19974,59,33,20,8,0,0,0,0
3/23/22,21A471,Wisconsin Legislature v. Wisconsin Elections Commission,PC,https://www.supremecourt.gov/opinions/21pdf/595us2r17_nko1.pdf,4714,15,11,1,0,0,0,0,0
3/07/22,20-5279,Wooden v. United States,EK,https://www.supremecourt.gov/opinions/21pdf/595us2r16_d1pf.pdf,14062,40,3,43,0,0,0,2,0
3/04/22,20-828,FBI v. Fazaga,A,https://www.supremecourt.gov/opinions/21pdf/595us2r15_l537.pdf,5759,18,0,0,0,1,1,0,0
3/04/22,20-443,United States v. Tsarnaev,T,https://www.supremecourt.gov/opinions/21pdf/595us2r14_l64n.pdf,14666,44,42,11,0,3,0,2,9
3/03/22,20-601,"Cameron v. EMW Women’s Surgical Center, P. S. C.",A,https://www.supremecourt.gov/opinions/21pdf/595us2r13_n7io.pdf,12689,37,20,14,0,0,0,0,0
3/03/22,20-827,United States v. Zubaydah,B,https://www.supremecourt.gov/opinions/21pdf/595us2r12_1a72.pdf,24260,74,48,19,0,0,0,0,0
2/24/22,20-915,"Unicolors, Inc. v. H&M Hennes & Mauritz, L. P.",B,https://www.supremecourt.gov/opinions/21pdf/595us2r11_4f14.pdf,5910,19,12,0,0,0,0,0,0
1/24/22,19-1401,Hughes v. Northwestern Univ.,SS,https://www.supremecourt.gov/opinions/21pdf/595us1r10_4hdj.pdf,2909,10,0,0,0,0,0,0,0
1/20/22,20-637,Hemphill v. New York,SS,https://www.supremecourt.gov/opinions/21pdf/595us1r9_5iek.pdf,10799,32,19,5,1,1,4,23,0
1/13/22,21A244,NFIB v. OSHA,PC,https://www.supremecourt.gov/opinions/21pdf/595us1r8_8o6a.pdf,10536,33,28,10,0,0,0,0,0
1/13/22,21A240,Biden v. Missouri,PC,https://www.supremecourt.gov/opinions/21pdf/595us1r7_4315.pdf,7515,24,19,2,0,0,0,0,0
1/13/22,20-480,Babcock v. Kijakazi,AB,https://www.supremecourt.gov/opinions/21pdf/595us1r6_ihdk.pdf,3561,12,5,0,0,0,0,0,0
12/10/21,21-588 (21A85),United States v. Texas,PC,https://www.supremecourt.gov/opinions/21pdf/595us1r5_d1oe.pdf,1028,5,1,0,0,0,0,0,0
12/10/21,21-463,Whole Woman’s Health v. Jackson,NG,https://www.supremecourt.gov/opinions/21pdf/595us1r4_0861.pdf,16458,46,17,15,1,0,0,0,0
11/22/21,"143, Orig.",Mississippi v. Tennessee,R,https://www.supremecourt.gov/opinions/21pdf/595us1r3_n758.pdf,5073,17,0,0,0,0,0,0,0
10/18/21,20-1668,City of Tahlequah v. Bond,PC,https://www.supremecourt.gov/opinions/21pdf/595us1r2_8njq.pdf,2171,8,0,0,0,10,0,0,0
10/18/21,20-1539,Rivas-Villegas v. Cortesluna,PC,https://www.supremecourt.gov/opinions/21pdf/595us1r1_mkhn.pdf,2616,10,1,0,0,1,0,0,0
6/30/23,21-476,303 Creative LLC v. Elenis,NG,https://www.supremecourt.gov/opinions/22pdf/600us1r58_7khn.pdf,26481,73,97,10,79,0,1,0,0
6/30/23,22-535,Department of Education v. Brown,A,https://www.supremecourt.gov/opinions/22pdf/600us1r57_o7kq.pdf,6666,21,0,0,0,0,0,0,0
6/30/23,22-506,Biden v. Nebraska,R,https://www.supremecourt.gov/opinions/22pdf/600us1r56_1o13.pdf,26437,76,70,21,5,0,0,0,0
6/29/23,22-174,Groff v. DeJoy,A,https://www.supremecourt.gov/opinions/22pdf/600us1r55_3dq4.pdf,11187,32,16,8,1,0,0,0,0
6/29/23,21-1043,"Abitron Austria GmbH v. Hetronic Int’l, Inc.",A,https://www.supremecourt.gov/opinions/22pdf/600us1r54_g3bi.pdf,12809,37,0,27,0,0,0,0,0
6/29/23,20-1199,"Students for Fair Admissions, Inc. v. President and Fellows of Harvard College",R,https://www.supremecourt.gov/opinions/22pdf/600us1r53_4g15.pdf,81868,233,223,161,2,2,0,0,0
6/27/23,21-1168,Mallory v. Norfolk Southern R. Co,NG,https://www.supremecourt.gov/opinions/22pdf/600us1r52_7l48.pdf,21108,61,46,38,0,0,0,0,0
6/27/23,22-138,Counterman v. Colorado,EK,https://www.supremecourt.gov/opinions/22pdf/600us1r51_g3bi.pdf,19714,58,49,27,91,0,0,0,0
6/27/23,21-1271,Moore v. Harper,R,https://www.supremecourt.gov/opinions/22pdf/600us1r50_h3ci.pdf,23760,67,46,12,0,0,0,0,0
6/23/23,22-179,United States v. Hansen,AB,https://www.supremecourt.gov/opinions/22pdf/599us1r49_jgkn.pdf,17811,53,34,14,25,0,0,0,0
6/23/23,22-105,"Coinbase, Inc. v. Bielski",BK,https://www.supremecourt.gov/opinions/22pdf/599us1r48_986b.pdf,9417,28,18,1,0,0,0,0,0
6/23/23,22-58,United States v. Texas,BK,https://www.supremecourt.gov/opinions/22pdf/599us1r47_8m58.pdf,23440,68,40,54,1,0,0,0,0
